Established_Date,Create_Date,Advertise_From,Advertise_To,DaystilExpires,Job_Number,Jobid,Job_Type,Paid_Per,Job_Title,Category,Department,Department_Code,Hits,Submitted_Resume_Count,Continuous,Job_Description,Essential_Duties_and_Resp,Language,Location,Maximum_Salary,Minimum_Salary,Maximum_Salary_Range,Benefit_Code,Status,Publisher,State,Jurisdiction,AdvertiseTo_Yr,AdvertiseTo_Mth,AdvertiseFrom_Mth,AdvertiseFrom_Yr,CreateDate_Yr,CreateDate_Mth,AdvertiseTo_DayofWk,OBJECTID
2017-10-02T19:49:20.000Z,2019-04-04T22:15:31.000Z,2019-04-04T03:00:00.000Z,2019-04-18T02:59:00.000Z,9,2019-00243,2408006,Full-Time,Year,Equipment Operator I,"Trades,Water Treatment,Water Agency,Maintenance,Utilities",PU Water Distribution,5270,31,0,False,"This class is the second level in a nine-level Maintenance and Operations Series devoted to providing repair, maintenance and equipment operation for an assigned city maintenance, or operational function. Incumbents provide semi-skilled or skilled general maintenance based on assignment to any City department or maintenance function. Work may include the following:<ul>	<li>Repairing and maintaining water-related infrastructure	<li>Performing maintenance and minor repairs on equipment and parts	<li>Operating assigned equipment	<li>Maintaining cleanliness of work area, tools and equipment	<li>Following safety policies and procedures</ul><strong>Hiring Range:? $32,506 - $34,131 (Promotional Hiring Range May Vary)</strong>","<strong>Essential Duties:</strong><ul>	<li>Performs semi-skilled or skilled general maintenance supporting City department(s) or maintenance function; selects proper maintenance tools and equipment for tasks; performs work following established safety policies and procedures and applicable codes and regulations.	<li>Operates and maintains assigned equipment and tools; performs inspections to ensure safe operating conditions; performs routine repairs and/or replacement of parts; cleans and performs preventative maintenance; and monitors need for replacement or advanced repairs.	<li>Plans, monitors and reviews inventory, resources and materials needs; initiates orders for resources based on requirements; may work with contract workers and trade specialists by scheduling and coordinating repairs and maintenance services.	<li>Maintains activity logs, records, work orders and related reports.	<li>Performs other duties of a similar nature and level as assigned.	<li>Operating and driving heavy equipment such as a dump truck, tractor-trailer, tractor, flatbed truck or water truck;	<li>Hauling materials, supplies, equipment, and soil;	<li>Inspecting assigned equipment for mechanical readiness;	<li>Performing minor preventative maintenance on equipment.</ul>",  ==None,"3304 Terminal Drive, Raleigh",52554,32506,50k-60k,Benefits,Active,City of Raleigh,NC,16000US3755000,2019,4,4,2019,2019,4,Wednesday,382002
2017-11-01T19:25:05.000Z,2019-04-04T23:05:18.000Z,2019-04-04T03:00:00.000Z,2019-04-18T02:59:00.000Z,9,2019-00245,2408054,Full-Time,Year,School Based Program Specialist,Parks and Recreation,PRC School Based Programs,6232,451,22,False,"School Based Programs provides Before School, After School, Track Out Programs for children in traditional and year round schools in Raleigh. School Based Programs operates at 8 different program locations and served an average of 1000 participants daily. School Based Programs Assistant Managers are responding for supporting the program staff, participants and families during the program day. They also support the daily the operations of the program. This person will assist in managing part time staff at their assigned location(s).?<br><br><strong>Hiring Range:? $38,242 (Promotional Hiring Range may vary)?</strong>","<strong>Essential Duties</strong><ul>	<li>Assists with the planning, organization, and conducting of the After School, Before School and Track Out X-Press program at designated program facility	<li>Works directly with school-aged participants in a summer camp style setting, year round, to ensure participant safety and that participants are engaged in program activities	<li>Implements and helps design activity plans and facilitates curriculum based programs.	<li>Assists in creating program publications including: schedules, newsletters, special event flyers, etc.	<li>Receives and processes feedback on programs	<li>Assists with sending out correspondence, calls patrons, and works at public events in order to recruit program participants	<li>Prepares correspondence and performs other administrative duties as necessary	<li>Assists the City in cleanup and repair during inclement weather situations</ul><strong>Supervisory Responsibilities:</strong><ul>	<li>This job supervises part time program staff at assigned program locations</ul>",  ==None,"Marsh Creek Community Center 3050 New Hope Road, Raleigh",61828,38242,60k-70k,Benefits,Active,City of Raleigh,NC,16000US3755000,2019,4,4,2019,2019,4,Wednesday,382003
2017-10-02T19:49:20.000Z,2019-04-04T21:58:52.000Z,2019-04-04T03:00:00.000Z,2019-04-18T02:59:00.000Z,9,2019-00239,2407983,Full-Time,Year,Equipment Operator I,"Trades,Water Treatment,Water Agency,Maintenance,Utilities",PU Water Distribution,5270,80,1,False,"This class is the second level in a nine-level Maintenance and Operations Series devoted to providing repair, maintenance and equipment operation for an assigned city maintenance, or operational function. Incumbents provide semi-skilled or skilled general maintenance based on assignment to any City department or maintenance function. Work may include the following:<ul>	<li>Repairing and maintaining water-related infrastructure	<li>Performing maintenance and minor repairs on equipment and parts	<li>Operating assigned equipment	<li>Maintaining cleanliness of work area, tools and equipment	<li>Following safety policies and procedures</ul><strong>Hiring Range:? $32,506 - $34,131 (Promotional Hiring Range May Vary)</strong>","<strong>Essential Duties:</strong><ul>	<li>Performs semi-skilled or skilled general maintenance supporting City department(s) or maintenance function; selects proper maintenance tools and equipment for tasks; performs work following established safety policies and procedures and applicable codes and regulations.	<li>Operates and maintains assigned equipment and tools; performs inspections to ensure safe operating conditions; performs routine repairs and/or replacement of parts; cleans and performs preventative maintenance; and monitors need for replacement or advanced repairs.	<li>Plans, monitors and reviews inventory, resources and materials needs; initiates orders for resources based on requirements; may work with contract workers and trade specialists by scheduling and coordinating repairs and maintenance services.	<li>Maintains activity logs, records, work orders and related reports.	<li>Performs other duties of a similar nature and level as assigned.	<li>Operating and driving heavy equipment such as a dump truck, tractor-trailer, tractor, flatbed truck or water truck;	<li>Hauling materials, supplies, equipment, and soil;	<li>Inspecting assigned equipment for mechanical readiness;	<li>Performing minor preventative maintenance on equipment.</ul>",  ==None,"3304 Terminal Drive, Raleigh",52554,32506,50k-60k,Benefits,Active,City of Raleigh,NC,16000US3755000,2019,4,4,2019,2019,4,Wednesday,382005
2017-10-02T19:49:20.000Z,2019-04-03T21:25:29.000Z,2019-04-03T03:00:00.000Z,2019-04-16T02:59:00.000Z,7,2019-00235,2406536,Full-Time,Year,Administrative Support Supervisor,"Administrative Assistant,Management,Office and Administrative Support",Stormwater Mgmt-Eng Svcs,7225,1110,74,False,"This class is the fifth level in a five-level Administrative Support Series devoted to providing clerical and office support activities and administrative coordination. Incumbents provide supervision and coordination of technical and specialist support staff and are also responsible for a variety of complex administrative support duties requiring extensive knowledge of department-specific operations. Work may include the following:<ul>	<li>Training staff	<li>Interacting with management staff to understand needs and establish timelines and priorities	<li>Coordinating multiple and complex tasks within tight deadlines	<li>Determining work procedures and work priorities	<li>Reviewing work	<li>Developing and implementing process and efficiency improvements	<li>Promoting collaboration and resolving staff grievances	<li>Researching and preparing complex reports and documents	<li>Assisting subordinates with clerical duties as required</ul>Incumbents supervise paraprofessional and support staff including conducting performance evaluations, coordinating training, and implementing hiring, discipline and termination procedures.<br><br><strong>Hiring Range:? $43,488 - $50,343 (Promotional Hiring Range may vary)</strong>","<strong>Essential Duties</strong><ul>	<li>Supervise and train the Administrative Staff in the day to day items and issues that arise in Customer Service (Internal and External), Contract Management, Financial Transactions, Personnel Issues/Assistance, Travel Coordination, Records Retention, Stormwater Management Advisory Commission Coordination, Council Agenda Items, and much more.	<li>Works with Project Managers on project schedule management, updating project status reports, and tracking critical dates for projects, such as Certificate of Insurance and Contract End dates.	<li>Assist the Fiscal Analyst as may be needed with financial transactions and documentation.?	<li>Serve as the Division's Procurement Card Administrator.?	<li>Serve as Council Agenda Item Coordinator for the division and processes those items with the aid of staff.?	<li>Serves as lead in the NEOGOV portion of the recruitment process with assistance from staff.?	<li>Reviews and resolves issues and complaints; especially escalated items.? Tracks and analyzes performance data and prepares reports.?	<li>Monitors and reviews procedures and processes; researches best practices and industry standards; identifies, develops and implements business process improvements of assigned area.	<li>Oversee and assist with procuring goods and services.?	<li>Maintains and oversees databases, files, and records for the Division and ensures adherence to records retention policies and procedures.?	<li>Manage inventory of Operational Assets such as Cell Phones, Computers, Vehicles, etc.</ul>",  ==None,"Professional Building 127 West Hargett Street, Raleigh",70310,43488,70k-80k,Benefits,Active,City of Raleigh,NC,16000US3755000,2019,4,4,2019,2019,4,Monday,382006
2014-07-16T12:42:32.000Z,2019-03-06T14:53:12.000Z,2019-04-03T03:00:00.000Z,2019-04-25T02:59:00.000Z,16,2019-00168,2375794,Part-Time,Hour,Preschool Programs Instructor,Parks and Recreation ,PRC Recreation,6230,102,3,False,"Roberts Park Community Center is looking for preschool program instructors to offer specialized programming to preschool youth ages 3-5. Program examples include, but are not limited to, music, art, dance and sports. Roberts Park Community Center? is located at 1300 E. Martin Street, Raleigh, NC, 27610. The individual will serve as a member of a team and develop creative lesson plans and program implementation in a positive and fun environment.","<ul>	<li>Knowledge of innovative lesson planning for children between ages 2-5 years.	<li>Knowledge of age-appropriate activities and child development philosophies and practices.	<li>Provide program creation, implementation and supervision for preschool educational and recreational programs.	<li>Responsibilities include, but are not limited, to equipment set up and take down, facilitation of education, programs and activities.	<li>Engage in activities that encourage learning and age-appropriate development.	<li>Plan and carry out a curriculum that targets different areas of child development such as language, motor skills and social skills.</ul>",  ==None,"Roberts Park 1300 East Martin Street, Raleigh",,10,,N/A,Active,City of Raleigh,NC,16000US3755000,2019,4,4,2019,2019,3,Wednesday,382007
2014-07-16T12:42:32.000Z,2019-04-03T17:24:02.000Z,2019-04-03T03:00:00.000Z,2019-04-27T02:59:00.000Z,18,2019-00248,2405985,Part-Time,Hour,Recreation Instructor - Active Adult Centers,Parks and Recreation ,PRC Recreation,6230,226,7,False,"Recreation Instructors are needed to teach fitness classes for our Active Adult population. Our centers cater to retired adults generally aged 50-90 years old. We offer a variety of levels from seated to rather energetic &quot;Bootcamp&quot; style classes. We currently offer Aerobics, Cardio Sculpt, Line Dancing, Pilates, Tai Chi, Yoga, Zumba and more. Each individual class is offered weekly at a specific time and day for 45 min-1 hour.",Candidates must be at least 18 years of age and have a fitness certification and at least one year experience related to the specific class being offered. Experience teaching older adults is preferred.,  ==None,"Varies, Raleigh",,25,,N/A,Active,City of Raleigh,NC,16000US3755000,2019,4,4,2019,2019,4,Friday,382008
2017-10-02T19:49:20.000Z,2019-04-03T22:24:00.000Z,2019-04-03T03:00:00.000Z,2019-04-23T02:59:00.000Z,14,2019-00250,2406600,Full-Time,Year,Senior Planner,Planning and Development,Transit Operations - Trans Svc,7470,127,3,False,"This class is the third level in a five-level Planning Series devoted to paraprofessional and professional support of municipal planning for a variety of operations and functions including strategic planning, comprehensive planning, land use, and operational planning. Incumbents provide professional journey-level planning work in the Transportation/Transit field.<br><br>Senior Planner is a position within the City of Raleigh Transportation Department -Transit Division.? This position provides advanced level professional transportation and land use planning work. Senior Planner is considered a subject matter expert, providing consultation to other planning staff and to management. As assigned, this position may serve as lead staff on various planning initiatives and be responsible for coordination of complex planning projects. Ideal candidates for this role will value innovative and collaborative approaches to providing public services, appreciate and thrive in a dynamic and constantly evolving work environment.<br><br>The Senior Planner will be responsible for various aspects of long-term transportation and land use planning for ensuring the orderly, strategic and cost-effective development of the Wake County Transit Plan Bus Rapid Transit (BRT) program and associated projects. This position will work on engaging with various stakeholders and the public on planning issues and coordination; will serve as Transit Division representative on committees and work groups as assigned.<br><br><strong>Hiring Range:? $51,822 - $72,000 (Promotional Hiring Range May Vary)</strong>","<strong>Essential Duties:</strong><br>This class specification represents only the core areas of responsibilities; specific position assignments will vary depending on the needs of the Department.<ul>	<li>Provides program and/or project management, planning and analytical support in area of assignment.	<li>Provides consulting and advanced technical support related to assigned program, project or planning function; participates in the development of goals and objectives; serves as technical representative and consultant providing information and solutions to address issues and needs; monitors and ensures compliance with applicable policies, plans, requirements and processes.	<li>Performs research of best practices, industry standards and community needs; analyzes a variety of data and information; develops and presents program/project/plan recommendations; provides direction and support in implementing processes, programs, projects and/or procedures.	<li>Coordinates, attends and facilitates meetings; prepares agendas and technical materials; reviews activity status, timelines and resource allocation; monitors and evaluates consultant work; prioritizes and schedules work and activities.	<li>Prepares and presents planning and development-related reports and technical program information to City Council, Boards, Commissions, and/or internal and external stakeholders and groups; provides technical consultation and serves as a liaison by providing information and responding to requests.	<li>Identifies, develops, implement and maintains processes and practices that encourage, support and promote effective, comprehensive and meaningful citizen engagement.	<li>Assists in the development of long-range and strategic planning; participates in budget development, preparation, and administration.	<li>Performs other duties of a similar nature and level as assigned</ul>",  ==None,"Dillon Building 310 West Martin Street, Raleigh",95871,51822,80k+,Benefits,Active,City of Raleigh,NC,16000US3755000,2019,4,4,2019,2019,4,Monday,382009
2017-09-19T15:32:56.000Z,2018-12-13T00:28:44.000Z,2019-04-03T03:00:00.000Z,2019-04-11T02:59:00.000Z,2,2018-00750,2293673,Full-Time,Year,Utilities Technician,"Water Agency,Wastewater,Maintenance,Utilities",PU Sewer Maintenance,5250,1206,67,False,"<strong>This position is being re-advertised. Candidates who have previously submitted an application do not need to reapply.?</strong><br><br>This class is the second level in a ten-level Utilities Series devoted to providing operational, technical and maintenance support for the City's water, wastewater, collection and distribution systems. Incumbents perform skilled activities in support of maintenance and monitoring functions.<br><br><strong>Hiring Range:?$32,506.00 to $34,131.00 (Promotional Range May Vary)?</strong>","<strong>Position Specific Responsibilities:?</strong><br>Inspect work areas to determine work required. Inspect the City's sanitary sewer easements for conformance with prescribed standard. Reports and documents findings via written daily work orders and makes necessary amendments to sanitary sewer maps. May be required to lead and/or coordinate activities of a small crew. Performs additional easement maintenance type work as required. Has close contact with supervisor to review work in progress.? ?<br><br><strong>Additional Duties may include:</strong><ul>	<li>Provides skilled assistance in the maintenance and monitoring activities of the City's water, and wastewater collection and distribution systems.	<li>Support activities may include: locating lines and performing visual inspections of sewer system; utilizing CCTV equipment; repairing and maintaining water distribution pipes, valves, meters, hydrants and other related equipment; performing flushing operations; performing field lab analysis and sample collection.	<li>Collects, prepares and enters system data; creates work orders; logs work activities; updates maps; enters account data; enters water quality data; compiles and prepares reports; maintains records, files and work-related documentation.	<li>Responds to customer inquiries and concerns; meets with customers and contractors regarding repair, installation and maintenance work; assists in providing solutions to issues and concerns.	<li>Performs routine maintenance of job sites, vehicles, tools and equipment; calibrates equipment; sets up and breaks down work zone and related equipment; monitors safety of work spaces; determines need for and sets up traffic control measures.	<li>Monitors supplies and equipment inventory; initiates requests for required parts, tools and materials.	<li>Performs other duties of a similar nature and level as assigned.</ul>",  ==None,"3324 Lake Woodard Drive, Raleigh",52554,32506,50k-60k,Benefits,Active,City of Raleigh,NC,16000US3755000,2019,4,4,2019,2018,12,Wednesday,382010
2017-10-02T19:49:20.000Z,2019-02-12T21:00:33.000Z,2019-04-01T03:00:00.000Z,2019-04-16T02:59:00.000Z,7,2019-00092,2353376,Full-Time,Year,Code Compliance Officer,Code Enforcement,Solid Waste Administration,5030,1171,104,False,"This class is the first level in a six-level Inspections and Compliance Series devoted to providing inspection and/or enforcement activities. Incumbents perform skilled code enforcement duties to interpret and assess compliance with codes and regulations through inspection and observation. Work includes providing public education; inspection; enforcement of codes and regulations; issuing citations as assigned; and record keeping. Incumbents assigned to this classification are not required to maintain ICC inspection or trades certifications.<br><br><strong>Anticipated Hiring Range:? $35,546 - $39,190 (Promotional Range May Vary)</strong>","<strong>Essential Duties:</strong><ul>	<li>Performs inspections, investigations and/or reviews of plans to determine compliance with policies, regulations and/or standards; identifies issues and provides notification of need for corrections or actions; follows up to ensure appropriate actions have been taken.	<li>Provides customer service and education by responding to inquiries and requests; provides information on ordinances and codes; schedules meetings or inspections; and/or provides status updates related to inspections and reviews.	<li>Updates and maintains system data, files, records and documentation related to assigned area; prepares and issues correspondence and/or formal notification of compliance issues; retains records in accordance with established procedures;	<li>Performs reviews of processes, plans, permits, codes/ordinances, applications and/or surveys; provides recommendations related to approvals/denials, corrective actions and/or service provision.	<li>Performs other duties of a similar nature and level as assigned.	<li>Identifies, develops, implement and maintains processes and practices that encourage, support and promote effective, comprehensive and meaningful citizen engagement.</ul><strong>Positions assigned to <u>Solid Waste Services</u> may be responsible for:</strong><ul>	<li>Performing field inspections to determine service eligibility, space needs, and accurate service billing;	<li>Reviewing commercial and residential site plans and performing inspections to determine compliance with ordinances;	<li>Performing final inspections for Certificate of Occupancy approval/denial;	<li>Communicating with utility billing for the setup of new accounts, account corrections and/or retroactive billing needs;	<li>Performing investigations of properties to be annexed within the City and making service recommendations.</ul>",  ==None,"Solid Waste Services 630 Beacon Lake Drive, Raleigh",57470,35546,50k-60k,Benefits,Active,City of Raleigh,NC,16000US3755000,2019,4,4,2019,2019,2,Monday,382011
2017-10-02T19:49:20.000Z,2019-03-14T22:23:45.000Z,2019-04-01T03:00:00.000Z,2019-05-01T02:59:00.000Z,22,2019-00184,2385856,Full-Time,Year,"Maintenance Technician, Senior","Water Agency,Wastewater,Maintenance,Utilities",PU Sewer Maintenance,5250,274,6,False,"This class is the third level in a nine-level Maintenance and Operations Series devoted to providing repair, waste removal, maintenance and equipment operation for an assigned city maintenance or operational function. Incumbents provide skilled general maintenance based on assignment to any City department or maintenance function. Work may include providing maintenance and minor repairs on equipment and parts; operating assigned heavy equipment; maintaining records; maintaining cleanliness of work area, tools and equipment; and following safety policies and procedures. As assigned, incumbents may serve as lead workers, assigning work and monitoring work completion.<br><br><strong>Hiring?Range: $35,546 to $37,324 (Promotional Hiring Range May Vary)</strong>","<strong>Primary Duties include:</strong><br>Operates a trackhoe, backhoe, front end loader. street sweeper, flush truck, vibratory compactors and related equipment on water and sewer utility construction and maintenance projects. Completes daily work reports, inventory reports on materials and tools, and maintenance reports on vehicles. Trains new employees. Adheres to safety policies and regulations. Assists supervisor with managing a crew of 3-4 employees. Deals with customer concerns, inquires, and complaints regarding water and sewer services.?May be required to perform special tasks during emergency and disaster events. Must be able to work call duty and work after hours and on weekends on a rotating basis.<br><br><strong>Additional Duties may include:</strong><ul>	<li>Performs skilled general maintenance supporting a City department(s) or maintenance function; selects proper maintenance tools and equipment for assignment; performs work following established safety policies and procedures and applicable codes and regulations.	<li>May serve as lead worker by assigning work and monitoring work completion.	<li>Maintains assigned equipment and tools; performs inspections to ensure safe operating conditions; establishes priorities; performs repairs and/or replacement of parts; cleans and performs preventative maintenance; and monitors need for replacement or advanced repairs.	<li>Operates and/or transports equipment; may operate assigned heavy equipment for various functions which may include grading/excavating, collection and removal of debris, refuse and/or snow; and/or material application and distribution; plans routes and sets up work areas for safety and operational efficiency; may set up traffic control measures.	<li>Performs skilled maintenance which may include working with electrical, plumbing and/or HVAC systems; irrigation systems; water distribution systems; sewer collection systems; locating using closed circuit television systems; and/or fabricating equipment. Performs basic troubleshooting and repair of critical equipment.	<li>Inspects, repairs and maintains bridges, boardwalks, playground equipment, stormwater infrastructure, sewer mains, and/or other related structures and equipment of assigned area.	<li>Assesses work orders and determines required equipment, labor and materials; plans, schedules and completes requests; responds to customer inquiries and concerns.	<li>Maintains activity logs, records, work orders and related reports.	<li>Performs other duties of a similar nature and level as assigned.</ul>",  ==None,"Public Utilities Water Distribution 1715 Wendell Boulevard, Wendell",57470,35546,50k-60k,Benefits,Active,City of Raleigh,NC,16000US3755000,2019,4,4,2019,2019,3,Tuesday,382012
